"SaleID","OrderDate","OrderQuantity","UnitPrice","PromotionKey","CurrencyKey","SalesTerritoryKey"
"SO444912","2011-05-01 00:00:00","1","419.4589","1","100","2"
"SO444913","2011-05-01 00:00:00","2","874.794","1","100","2"
"SO444914","2011-05-01 00:00:00","2","419.4589","1","100","2"
"SO444921","2011-05-01 00:00:00","4","2024.994","1","100","1"
"SO444922","2011-05-01 00:00:00","2","722.5949","1","100","1"
"SO444923","2011-05-01 00:00:00","4","2024.994","1","100","1"
"SO444924","2011-05-01 00:00:00","5","28.8404","1","100","1"
"SO444925","2011-05-01 00:00:00","2","2039.994","1","100","1"
"SO444926","2011-05-01 00:00:00","6","5.7","1","100","1"
"SO444927","2011-05-01 00:00:00","2","28.8404","1","100","1"
"SO444928","2011-05-01 00:00:00","6","20.1865","1","100","1"
"SO444929","2011-05-01 00:00:00","6","2039.994","1","100","1"
"SO4449210","2011-05-01 00:00:00","2","28.8404","1","100","1"
"SO4449211","2011-05-01 00:00:00","5","2039.994","1","100","1"
"SO4449212","2011-05-01 00:00:00","4","2024.994","1","100","1"
"SO4449213","2011-05-01 00:00:00","5","2039.994","1","100","1"
"SO4449214","2011-05-01 00:00:00","1","20.1865","1","100","1"
"SO4449215","2011-05-01 00:00:00","2","818.7","1","100","1"
"SO4449216","2011-05-01 00:00:00","1","5.1865","1","100","1"
"SO4449217","2011-05-01 00:00:00","2","20.1865","1","100","1"
"SO4449218","2011-05-01 00:00:00","4","714.7043","1","100","1"
"SO4449219","2011-05-01 00:00:00","3","5.7","1","100","1"
"SO444931","2011-05-01 00:00:00","3","28.8404","1","100","5"
"SO444932","2011-05-01 00:00:00","1","874.794","1","100","5"
"SO444933","2011-05-01 00:00:00","1","874.794","1","100","5"
"SO444934","2011-05-01 00:00:00","2","419.4589","1","100","5"
"SO444935","2011-05-01 00:00:00","2","419.4589","1","100","5"
"SO444936","2011-05-01 00:00:00","2","419.4589","1","100","5"
"SO444937","2011-05-01 00:00:00","3","419.4589","1","100","5"
"SO444938","2011-05-01 00:00:00","2","419.4589","1","100","5"
"SO444939","2011-05-01 00:00:00","5","5.1865","1","100","5"
"SO444941","2011-05-01 00:00:00","2","419.4589","1","100","2"
"SO444942","2011-05-01 00:00:00","3","874.794","1","100","2"
"SO444943","2011-05-01 00:00:00","1","183.9382","1","100","2"
"SO444944","2011-05-01 00:00:00","1","874.794","1","100","2"
"SO444945","2011-05-01 00:00:00","1","2146.962","1","100","2"
"SO444946","2011-05-01 00:00:00","1","183.9382","1","100","2"
"SO444947","2011-05-01 00:00:00","3","20.1865","1","100","2"
"SO444948","2011-05-01 00:00:00","2","28.8404","1","100","2"
"SO444949","2011-05-01 00:00:00","2","20.1865","1","100","2"
"SO4449410","2011-05-01 00:00:00","2","2146.962","1","100","2"
"SO4449411","2011-05-01 00:00:00","1","419.4589","1","100","2"
"SO4449412","2011-05-01 00:00:00","2","419.4589","1","100","2"
"SO4449413","2011-05-01 00:00:00","2","874.794","1","100","2"
"SO4449414","2011-05-01 00:00:00","1","2146.962","1","100","2"
"SO4449415","2011-05-01 00:00:00","6","20.1865","1","100","2"
"SO4449416","2011-05-01 00:00:00","1","419.4589","1","100","2"
"SO4449417","2011-05-01 00:00:00","1","5.1865","1","100","2"
"SO4449418","2011-05-01 00:00:00","4","874.794","1","100","2"
"SO4449419","2011-05-01 00:00:00","2","874.794","1","100","2"
"SO4449420","2011-05-01 00:00:00","3","419.4589","1","100","2"
"SO4449421","2011-05-01 00:00:00","3","419.4589","1","100","2"
"SO4449422","2011-05-01 00:00:00","1","2146.962","1","100","2"
