"SaleID","EmployeeKey"
"SO436591","285"
"SO436592","285"
"SO436593","285"
"SO436594","285"
"SO436595","285"
"SO436596","285"
"SO436597","285"
"SO436598","285"
"SO436599","285"
"SO4365910","285"
"SO4365911","285"
"SO4365912","285"
"SO436601","285"
"SO436602","285"
"SO436611","288"
"SO436612","288"
"SO436613","288"
"SO436614","288"
"SO436615","288"
"SO436616","288"
"SO436617","288"
"SO436618","288"
"SO436619","288"
"SO4366110","288"
"SO4366111","288"
"SO4366112","288"
"SO4366113","288"
"SO4366114","288"
"SO4366115","288"
"SO436621","288"
"SO436622","288"
"SO436623","288"
"SO436624","288"
"SO436625","288"
"SO436626","288"
"SO436627","288"
"SO436628","288"
"SO436629","288"
"SO4366210","288"
"SO4366211","288"
"SO4366212","288"
"SO4366213","288"
"SO4366214","288"
"SO4366215","288"
"SO4366216","288"
"SO4366217","288"
"SO4366218","288"
"SO4366219","288"
"SO4366220","288"
"SO4366221","288"
"SO4366222","288"
"SO436631","282"
"SO436641","286"
"SO436642","286"
"SO436643","286"
"SO436644","286"
"SO436645","286"
"SO436646","286"
"SO436647","286"
"SO436648","286"
"SO436651","289"
"SO436652","289"
"SO436653","289"
"SO436654","289"
"SO436655","289"
"SO436656","289"
"SO436657","289"
"SO436658","289"
"SO436659","289"
"SO4366510","289"
"SO436661","282"
"SO436662","282"
"SO436663","282"
"SO436664","282"
"SO436665","282"
"SO436666","282"
"SO436671","283"
"SO436672","283"
"SO436673","283"
"SO436674","283"
"SO436681","288"
"SO436682","288"
"SO436683","288"
"SO436684","288"
"SO436685","288"
"SO436686","288"
"SO436687","288"
"SO436688","288"
"SO436689","288"
"SO4366810","288"
"SO4366811","288"
"SO4366812","288"
"SO4366813","288"
"SO4366814","288"
"SO4366815","288"
"SO4366816","288"
"SO4366817","288"
"SO4366818","288"
"SO4366819","288"
"SO4366820","288"
"SO4366821","288"
"SO4366822","288"
"SO4366823","288"
"SO4366824","288"
"SO4366825","288"
"SO4366826","288"
"SO4366827","288"
"SO4366828","288"
"SO4366829","288"
"SO436691","289"
"SO436701","281"
"SO436702","281"
"SO436703","281"
"SO436704","281"
"SO436711","289"
"SO436712","289"
"SO436713","289"
"SO436714","289"
"SO436715","289"
"SO436716","289"
"SO436717","289"
"SO436718","289"
"SO436719","289"
"SO4367110","289"
"SO4367111","289"
"SO436721","288"
"SO436722","288"
"SO436723","288"
"SO436731","281"
"SO436732","281"
"SO436733","281"
"SO436734","281"
"SO436735","281"
"SO436736","281"
"SO436737","281"
"SO436738","281"
"SO436739","281"
"SO4367310","281"
"SO4367311","281"
"SO436741","288"
"SO436751","283"
"SO436752","283"
"SO436753","283"
"SO436754","283"
"SO436755","283"
"SO436756","283"
"SO436757","283"
"SO436758","283"
"SO436759","283"
"SO436761","281"
"SO436762","281"
"SO436763","281"
"SO436764","281"
"SO436765","281"
"SO436771","284"
"SO436772","284"
"SO436773","284"
"SO436774","284"
"SO436775","284"
"SO436776","284"
"SO436777","284"
"SO436778","284"
"SO436779","284"
"SO4367710","284"
"SO4367711","284"
"SO4367712","284"
"SO436781","287"
"SO436782","287"
"SO436783","287"
"SO436784","287"
"SO436785","287"
"SO436786","287"
"SO436787","287"
"SO436788","287"
"SO436789","287"
"SO4367810","287"
"SO4367811","287"
"SO4367812","287"
"SO4367813","287"
"SO4367814","287"
"SO4367815","287"
"SO4367816","287"
"SO4367817","287"
"SO4367818","287"
"SO4367819","287"
"SO436791","284"
"SO436792","284"
"SO436793","284"
"SO436801","287"
"SO436802","287"
"SO436803","287"
"SO436804","287"
"SO436805","287"
"SO436806","287"
"SO436807","287"
"SO436808","287"
"SO436809","287"
"SO4368010","287"
"SO4368011","287"
"SO4368012","287"
"SO4368013","287"
"SO4368014","287"
"SO4368015","287"
"SO436811","285"
"SO436812","285"
"SO436813","285"
"SO436814","285"
"SO436815","285"
"SO436816","285"
"SO436817","285"
"SO436818","285"
"SO436819","285"
"SO4368110","285"
"SO4368111","285"
"SO4368112","285"
"SO4368113","285"
"SO4368114","285"
"SO4368115","285"
"SO4368116","285"
"SO4368117","285"
"SO4368118","285"
"SO4368119","285"
"SO4368120","285"
"SO4368121","285"
"SO436821","281"
"SO436822","281"
"SO436823","281"
"SO436824","281"
"SO436825","281"
"SO436831","289"
"SO436832","289"
"SO436833","289"
"SO436834","289"
"SO436835","289"
"SO436836","289"
"SO436837","289"
"SO436838","289"
"SO436839","289"
"SO4368310","289"
"SO4368311","289"
"SO4368312","289"
"SO4368313","289"
"SO436841","285"
"SO436842","285"
"SO436843","285"
"SO436844","285"
"SO436845","285"
"SO436846","285"
"SO436851","285"
"SO436852","285"
