"SaleID","ResellerKey"
"SO444912","162"
"SO444913","162"
"SO444914","162"
"SO444921","697"
"SO444922","697"
"SO444923","697"
"SO444924","697"
"SO444925","697"
"SO444926","697"
"SO444927","697"
"SO444928","697"
"SO444929","697"
"SO4449210","697"
"SO4449211","697"
"SO4449212","697"
"SO4449213","697"
"SO4449214","697"
"SO4449215","697"
"SO4449216","697"
"SO4449217","697"
"SO4449218","697"
"SO4449219","697"
"SO444931","531"
"SO444932","531"
"SO444933","531"
"SO444934","531"
"SO444935","531"
"SO444936","531"
"SO444937","531"
"SO444938","531"
"SO444939","531"
"SO444941","558"
"SO444942","558"
"SO444943","558"
"SO444944","558"
"SO444945","558"
"SO444946","558"
"SO444947","558"
"SO444948","558"
"SO444949","558"
"SO4449410","558"
"SO4449411","558"
"SO4449412","558"
"SO4449413","558"
"SO4449414","558"
"SO4449415","558"
"SO4449416","558"
"SO4449417","558"
"SO4449418","558"
"SO4449419","558"
"SO4449420","558"
"SO4449421","558"
"SO4449422","558"
"SO4449423","558"
"SO4449424","558"
"SO4449425","558"
"SO4449426","558"
"SO444951","11"
"SO444952","11"
"SO444953","11"
"SO444961","191"
"SO444962","191"
"SO444963","191"
"SO444964","191"
"SO444965","191"
"SO444966","191"
"SO444967","191"
"SO444968","191"
"SO444969","191"
"SO4449610","191"
"SO4449611","191"
"SO4449612","191"
"SO4449613","191"
"SO4449614","191"
"SO4449615","191"
"SO4449616","191"
"SO4449617","191"
"SO4449618","191"
"SO4449619","191"
"SO444971","208"
"SO444972","208"
"SO444981","102"
"SO444982","102"
"SO444983","102"
"SO444984","102"
"SO444985","102"
"SO444986","102"
"SO444987","102"
"SO444988","102"
"SO444989","102"
"SO4449810","102"
"SO4449811","102"
"SO4449812","102"
"SO4449813","102"
"SO4449814","102"
"SO4449815","102"
"SO444991","389"
"SO444992","389"
"SO444993","389"
"SO444994","389"
"SO445001","259"
"SO445002","259"
"SO445003","259"
"SO445004","259"
"SO445005","259"
"SO445006","259"
"SO445011","1"
"SO445012","1"
"SO445013","1"
"SO445014","1"
"SO445015","1"
"SO445016","1"
"SO445017","1"
"SO445018","1"
"SO445019","1"
"SO4450110","1"
"SO4450111","1"
"SO4450112","1"
"SO4450113","1"
"SO4450114","1"
"SO4450115","1"
"SO4450116","1"
"SO4450117","1"
"SO4450118","1"
"SO4450119","1"
